method,recipe,slug,url,coffee_g,ratio,water_ml,temperature_c,grind_size,tags,notes
Clever,James Hoffmann Steep & Release,james-hoffmann,https://calculate.coffee/clever/james-hoffmann,30,1:16.66,500,100,Medium,Hot,"45-second bloom, immersion, then release at 3 minutes."
Clever,Classic Method Set & Forget,classic,https://calculate.coffee/clever/classic,20,1:15,300,92,Medium,Hot,Simple immersion method; site recommends roughly 3–4 minute steep.
Clever,Iced Clever Immersion & Chill,iced,https://calculate.coffee/clever/iced,20,1:11,220,94,Medium,Iced,Stronger concentrate released directly onto ice.
Hario Switch,Tetsu Kasuya Hybrid Method,tetsu-kasuya,https://calculate.coffee/hario-switch/tetsu-kasuya,20,1:15,300,92,Medium,"4:6, Hot","Valve closed during first 40% phase, then opened for strength phase."
Hario Switch,James Hoffmann Switch Steep,james-hoffmann,https://calculate.coffee/hario-switch/james-hoffmann,18,1:16.66,300,95,Medium,Hot,Closed immersion bloom followed by slow pour-over drain.
Hario Switch,Iced Switch Immersion Flash Brew,iced,https://calculate.coffee/hario-switch/iced,18,1:13,234,94,Medium,Iced,"Steep concentrate with valve closed, then release onto ice."
Chemex,Iced Chemex Large-Batch Flash Brew,iced,https://calculate.coffee/chemex/iced,42,1:13,546,96,Medium,Iced,Brew directly onto ice inside the carafe.
Chemex,Scott Rao The Rao Spin,scott-rao,https://calculate.coffee/chemex/scott-rao,42,1:16.66,700,96,Medium,Hot,Continuous spiral pour with Rao Spin.
Chemex,Chemex Official Pulse-Pour Method,classic,https://calculate.coffee/chemex/classic,30,1:15,450,94,Medium,Hot,Three-pulse pour profile from the site's Chemex official recipe.
Moka Pot,James Hoffmann Pre-boiled + Low Heat,james-hoffmann,https://calculate.coffee/moka-pot/james-hoffmann,18,1:15,270,100,Medium,Hot,Cold-water/low-heat approach described on the site; page displays 100°C target.
Moka Pot,Iced Moka Pot Shakerato Style,iced,https://calculate.coffee/moka-pot/iced,18,1:10,180,100,Medium,Iced,Stovetop concentrate served over ice or shaken.
Moka Pot,Classic Italian Stovetop Tradition,classic,https://calculate.coffee/moka-pot/classic,28,1:10,280,20,Medium,Hot,Traditional Italian profile; page displays 20°C in the temperature field.
Origami,Jia Ning Du 2019 WBrC Champion,jia-ning-du,https://calculate.coffee/origami/jia-ning-du,13,1:17,221,86,Medium,Hot,Low-temperature competition routine with Kalita filter.
Origami,Iced Origami Flash Brew,iced,https://calculate.coffee/origami/iced,13,1:13,169,94,Medium,Iced,Two pours over ice.
Origami,Tetsu Kasuya 4:6 on Origami,tetsu-kasuya,https://calculate.coffee/origami/tetsu-kasuya,15,1:15,225,92,Medium,"4:6, Hot",4:6 adapted to Origami's faster-draining geometry.
Siphon,Hidenori Izaki Folding Stir Method,hidenori-izaki,https://calculate.coffee/siphon/hidenori-izaki,30,1:13.33,400,85,Medium,Hot,World Barista Champion recipe using folding stirs.
Siphon,Classic Hario Technica Vacuum Brewing,classic,https://calculate.coffee/siphon/classic,24,1:15,360,85,Medium,Hot,Traditional Hario siphon profile.
Cezve,Traditional Two-Rise Method,traditional,https://calculate.coffee/cezve/traditional,7,1:10,70,100,Medium,Hot,Two foam rises on low heat; ratio fixed on the site.
Cezve,James Hoffmann Sub-Boil Approach,hoffmann,https://calculate.coffee/cezve/hoffmann,7,1:10,70,100,Medium,Hot,Single controlled heat cycle below boiling; ratio fixed on the site.
Cold Brew,James Hoffmann 18-Hour Concentrate,james-hoffmann,https://calculate.coffee/cold-brew/james-hoffmann,100,1:10,1000,20,Medium,Cold,"Site recipe card says 18-hour concentrate; recipe page notes 12-hour refrigerator steep, so this discrepancy should be preserved for later verification."
Cold Brew,Classic Toddy Ready-to-Drink,classic,https://calculate.coffee/cold-brew/classic,60,1:16,960,20,Medium,Cold,Classic Toddy-style ready-to-drink profile; site card describes 12 hours at room temperature.
